,Date,Start,Maximum,End,Available,Data
0,2018/02/04,19:06,19:22,19:27,Yes,19:21
1,2018/02/04,20:18,20:24,20:30,Yes,20:21
2,2018/02/04,23:20,23:25,23:29,Yes,23:21
3,2018/02/08,16:51,16:59,17:21,Yes,17:21
4,2018/02/17,18:07,18:15,18:28,Yes,18:21
5,2018/03/02,00:30,00:52,01:17,Yes,00:49
6,2018/03/31,16:16,16:20,16:25,Yes,16:21
7,2018/04/14,19:10,19:19,19:30,Yes,19:21
8,2018/04/15,00:05,00:10,00:24,Yes,00:21
9,2018/12/05,20:19,20:25,20:33,Yes,20:21
0,2019/01/03,16:40,17:14,17:33,Yes,17:21
1,2019/01/29,21:17,21:29,21:48,Yes,21:21
2,2019/01/30,19:20,19:28,20:00,Yes,19:21
3,2019/03/20,00:17,00:20,00:22,Yes,00:21
4,2019/03/20,21:19,21:24,21:32,Yes,21:22
5,2019/03/21,17:13,17:21,17:39,Yes,17:21
